Tube_Number,Sample_ID,Presowing_Weight,Postsowing_Weight,Weight_Imbibed,Radicle_Emergence,Disease _rating,Time,Experiment_Date,SoilCollectionDate,ExtractionDate,Extraction Weight,Qubit_ng_uL,Location_EC,State,County,Latitude,Longitude,Sample_Type,Crop_Last_Year,Crop_This_Year,Tillage,Notes,Weather,Precipitation,Air_Temperature,Relative_Humiidty,Soil_Temperature,UVA,UVB
122,BN43,NA,NA,NA,NA,NA,16,5/30/2024,5/19/2024,1/29/2025,0.2190,6.3800,N_Dakota,ND,Richland,46.47197,-96.9872,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
123,BN44,NA,NA,NA,NA,NA,16,5/30/2024,5/19/2024,1/29/2025,0.1310,11.9000,N_Dakota,ND,Richland,46.47197,-96.9872,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
124,BN45,NA,NA,NA,NA,NA,16,5/30/2024,5/19/2024,1/29/2025,0.1910,6.3200,N_Dakota,ND,Richland,46.47197,-96.9872,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
125,BN46,NA,NA,NA,NA,NA,16,5/30/2024,5/19/2024,1/29/2025,0.2110,9.9400,N_Dakota,ND,Richland,46.47197,-96.9872,Bulk_Soil,Corn,Soybean,Conventional,,,,,,,,
126,BM11,NA,NA,NA,NA,NA,0,5/24/2024,5/17/2024,1/29/2025,0.1600,18.3000,Michigan,MI,Ingham,42.693741,-84.486578,Bulk_Soil,Wheat,Soybean,Conventional,,,,,,,,
127,BM12,NA,NA,NA,NA,NA,0,5/24/2024,5/17/2024,1/30/2025,0.2160,19.8000,Michigan,MI,Ingham,42.693741,-84.486578,Bulk_Soil,Wheat,Soybean,Conventional,,,,,,,,
128,BM13,NA,NA,NA,NA,NA,0,5/24/2024,5/17/2024,1/30/2025,0.2100,18.6000,Michigan,MI,Ingham,42.693741,-84.486578,Bulk_Soil,Wheat,Soybean,Conventional,,,,,,,,
129,BM14,NA,NA,NA,NA,NA,0,5/24/2024,5/17/2024,1/30/2025,0.1720,15.6000,Michigan,MI,Ingham,42.693741,-84.486578,Bulk_Soil,Wheat,Soybean,Conventional,,,,,,,,
130,BM15,NA,NA,NA,NA,NA,0,5/24/2024,5/17/2024,1/30/2025,0.2100,21.0000,Michigan,MI,Ingham,42.693741,-84.486578,Bulk_Soil,Wheat,Soybean,Conventional,,,,,,,,
131,BM16,NA,NA,NA,NA,NA,0,5/24/2024,5/17/2024,1/30/2025,0.1370,8.1600,Michigan,MI,Ingham,42.693741,-84.486578,Bulk_Soil,Wheat,Soybean,Conventional,,,,,,,,
132,BM21,NA,NA,NA,NA,NA,8,5/24/2024,5/17/2024,1/30/2025,0.1930,17.9000,Michigan,MI,Ingham,42.693741,-84.486578,Bulk_Soil,Wheat,Soybean,Conventional,,,,,,,,
133,BM22,NA,NA,NA,NA,NA,8,5/24/2024,5/17/2024,1/30/2025,0.2800,19.8000,Michigan,MI,Ingham,42.693741,-84.486578,Bulk_Soil,Wheat,Soybean,Conventional,,,,,,,,
134,BM23,NA,NA,NA,NA,NA,8,5/24/2024,5/17/2024,1/30/2025,0.1920,14.9000,Michigan,MI,Ingham,42.693741,-84.486578,Bulk_Soil,Wheat,Soybean,Conventional,,,,,,,,
135,BM24,NA,NA,NA,NA,NA,8,5/24/2024,5/17/2024,1/30/2025,0.3030,9.6800,Michigan,MI,Ingham,42.693741,-84.486578,Bulk_Soil,Wheat,Soybean,Conventional,,,,,,,,
136,BM25,NA,NA,NA,NA,NA,8,5/24/2024,5/17/2024,1/30/2025,0.1660,20.4000,Michigan,MI,Ingham,42.693741,-84.486578,Bulk_Soil,Wheat,Soybean,Conventional,,,,,,,,
137,BM26,NA,NA,NA,NA,NA,8,5/24/2024,5/17/2024,1/30/2025,0.1800,16.4000,Michigan,MI,Ingham,42.693741,-84.486578,Bulk_Soil,Wheat,Soybean,Conventional,,,,,,,,
138,BM31,NA,NA,NA,NA,NA,12,5/24/2024,5/17/2024,1/30/2025,0.2460,10.5000,Michigan,MI,Ingham,42.693741,-84.486578,Bulk_Soil,Wheat,Soybean,Conventional,,,,,,,,
139,BM32,NA,NA,NA,NA,NA,12,5/24/2024,5/17/2024,1/30/2025,0.2020,8.8200,Michigan,MI,Ingham,42.693741,-84.486578,Bulk_Soil,Wheat,Soybean,Conventional,,,,,,,,
140,BM33,NA,NA,NA,NA,NA,12,5/24/2024,5/17/2024,1/30/2025,0.2490,12.9000,Michigan,MI,Ingham,42.693741,-84.486578,Bulk_Soil,Wheat,Soybean,Conventional,,,,,,,,
141,BM34,NA,NA,NA,NA,NA,12,5/24/2024,5/17/2024,1/30/2025,0.1650,9.3000,Michigan,MI,Ingham,42.693741,-84.486578,Bulk_Soil,Wheat,Soybean,Conventional,,,,,,,,
142,BM35,NA,NA,NA,NA,NA,12,5/24/2024,5/17/2024,1/30/2025,0.2250,14.2000,Michigan,MI,Ingham,42.693741,-84.486578,Bulk_Soil,Wheat,Soybean,Conventional,,,,,,,,
143,BM36,NA,NA,NA,NA,NA,12,5/24/2024,5/17/2024,1/30/2025,0.2090,22.6000,Michigan,MI,Ingham,42.693741,-84.486578,Bulk_Soil,Wheat,Soybean,Conventional,,,,,,,,
144,NC6,NA,NA,NA,NA,NA,NA,8/5/2024,NA,1/30/2025,NA,too low,NA,NA,NA,NA,NA,Extraction_Control,NA,NA,NA,,,,,,,,
145,BM41,NA,NA,NA,NA,NA,16,5/24/2024,5/17/2024,1/30/2025,0.1430,5.2000,Michigan,MI,Ingham,42.693741,-84.486578,Bulk_Soil,Wheat,Soybean,Conventional,,,,,,,,
146,BM42,NA,NA,NA,NA,NA,16,5/24/2024,5/17/2024,1/30/2025,0.2820,13.8000,Michigan,MI,Ingham,42.693741,-84.486578,Bulk_Soil,Wheat,Soybean,Conventional,,,,,,,,
147,BM43,NA,NA,NA,NA,NA,16,5/24/2024,5/17/2024,1/30/2025,0.1110,11.1000,Michigan,MI,Ingham,42.693741,-84.486578,Bulk_Soil,Wheat,Soybean,Conventional,,,,,,,,
148,BM44,NA,NA,NA,NA,NA,16,5/24/2024,5/17/2024,1/30/2025,0.3200,15.3000,Michigan,MI,Ingham,42.693741,-84.486578,Bulk_Soil,Wheat,Soybean,Conventional,,,,,,,,
149,BM45,NA,NA,NA,NA,NA,16,5/24/2024,5/17/2024,1/30/2025,0.3050,17.2000,Michigan,MI,Ingham,42.693741,-84.486578,Bulk_Soil,Wheat,Soybean,Conventional,,,,,,,,
150,BM46,NA,NA,NA,NA,NA,16,5/24/2024,5/17/2024,1/30/2025,0.2280,10.1000,Michigan,MI,Ingham,42.693741,-84.486578,Bulk_Soil,Wheat,Soybean,Conventional,,,,,,,,
151,PB11,NA,NA,NA,NA,NA,0,5/30/2024,5/23/2024,1/30/2025,0.1680,25.0000,Pennsylvania,PA,Centre,40.716083,-77.939139,Bulk_Soil,,,,,,,,,,,
152,PB12,NA,NA,NA,NA,NA,0,5/30/2024,5/23/2024,1/30/2025,0.1700,16.5000,Pennsylvania,PA,Centre,40.716083,-77.939139,Bulk_Soil,,,,,,,,,,,
153,PB13,NA,NA,NA,NA,NA,0,5/30/2024,5/23/2024,1/30/2025,0.1970,19.1000,Pennsylvania,PA,Centre,40.716083,-77.939139,Bulk_Soil,,,,,,,,,,,
154,PB14,NA,NA,NA,NA,NA,0,5/30/2024,5/23/2024,1/30/2025,0.2060,23.0000,Pennsylvania,PA,Centre,40.716083,-77.939139,Bulk_Soil,,,,,,,,,,,
155,PB15,NA,NA,NA,NA,NA,0,5/30/2024,5/23/2024,1/30/2025,0.1460,12.2000,Pennsylvania,PA,Centre,40.716083,-77.939139,Bulk_Soil,,,,,,,,,,,
156,PB16,NA,NA,NA,NA,NA,0,5/30/2024,5/23/2024,1/30/2025,0.1600,16.5000,Pennsylvania,PA,Centre,40.716083,-77.939139,Bulk_Soil,,,,,,,,,,,
157,PB21,NA,NA,NA,NA,NA,8,5/30/2024,5/23/2024,1/30/2025,0.1570,12.9000,Pennsylvania,PA,Centre,40.716083,-77.939139,Bulk_Soil,,,,,,,,,,,
158,PB22,NA,NA,NA,NA,NA,8,5/30/2024,5/23/2024,1/30/2025,0.2100,31.6000,Pennsylvania,PA,Centre,40.716083,-77.939139,Bulk_Soil,,,,,,,,,,,
159,PB23,NA,NA,NA,NA,NA,8,5/30/2024,5/23/2024,1/30/2025,0.2630,19.3000,Pennsylvania,PA,Centre,40.716083,-77.939139,Bulk_Soil,,,,,,,,,,,
160,PB24,NA,NA,NA,NA,NA,8,5/30/2024,5/23/2024,1/30/2025,0.1740,17.6000,Pennsylvania,PA,Centre,40.716083,-77.939139,Bulk_Soil,,,,,,,,,,,
161,PB25,NA,NA,NA,NA,NA,8,5/30/2024,5/23/2024,1/30/2025,0.1100,16.3000,Pennsylvania,PA,Centre,40.716083,-77.939139,Bulk_Soil,,,,,,,,,,,
162,PB26,NA,NA,NA,NA,NA,8,5/30/2024,5/23/2024,1/30/2025,0.2260,23.4000,Pennsylvania,PA,Centre,40.716083,-77.939139,Bulk_Soil,,,,,,,,,,,
163,PB31,NA,NA,NA,NA,NA,12,5/30/2024,5/23/2024,1/30/2025,0.1760,18.5000,Pennsylvania,PA,Centre,40.716083,-77.939139,Bulk_Soil,,,,,,,,,,,
164,PB32,NA,NA,NA,NA,NA,12,5/30/2024,5/23/2024,1/30/2025,0.2420,37.8000,Pennsylvania,PA,Centre,40.716083,-77.939139,Bulk_Soil,,,,,,,,,,,
165,PB33,NA,NA,NA,NA,NA,12,5/30/2024,5/23/2024,1/30/2025,0.1890,16.3000,Pennsylvania,PA,Centre,40.716083,-77.939139,Bulk_Soil,,,,,,,,,,,
166,PB34,NA,NA,NA,NA,NA,12,5/30/2024,5/23/2024,1/30/2025,0.1940,13.5000,Pennsylvania,PA,Centre,40.716083,-77.939139,Bulk_Soil,,,,,,,,,,,
167,PB35,NA,NA,NA,NA,NA,12,5/30/2024,5/23/2024,1/30/2025,0.1700,15.6000,Pennsylvania,PA,Centre,40.716083,-77.939139,Bulk_Soil,,,,,,,,,,,
168,NC7,NA,NA,NA,NA,NA,NA,8/5/2024,NA,1/30/2025,NA,too low,NA,NA,NA,NA,NA,Extraction_Control,NA,NA,NA,,,,,,,,
169,PB36,NA,NA,NA,NA,NA,12,5/30/2024,5/23/2024,1/30/2025,0.2760,16.1000,Pennsylvania,PA,Centre,40.716083,-77.939139,Bulk_Soil,,,,,,,,,,,
170,PB41,NA,NA,NA,NA,NA,16,5/30/2024,5/23/2024,1/30/2025,0.1760,17.8000,Pennsylvania,PA,Centre,40.716083,-77.939139,Bulk_Soil,,,,,,,,,,,
171,PB42,NA,NA,NA,NA,NA,16,5/30/2024,5/23/2024,1/30/2025,0.1890,25.2000,Pennsylvania,PA,Centre,40.716083,-77.939139,Bulk_Soil,,,,,,,,,,,
172,PB43,NA,NA,NA,NA,NA,16,5/30/2024,5/23/2024,1/30/2025,0.2340,30.0000,Pennsylvania,PA,Centre,40.716083,-77.939139,Bulk_Soil,,,,,,,,,,,
173,PB44,NA,NA,NA,NA,NA,16,5/30/2024,5/23/2024,1/30/2025,0.2700,24.4000,Pennsylvania,PA,Centre,40.716083,-77.939139,Bulk_Soil,,,,,,,,,,,
174,PB45,NA,NA,NA,NA,NA,16,5/30/2024,5/23/2024,1/30/2025,0.2500,35.2000,Pennsylvania,PA,Centre,40.716083,-77.939139,Bulk_Soil,,,,,,,,,,,
175,PB46,NA,NA,NA,NA,NA,16,5/30/2024,5/23/2024,1/30/2025,0.1610,19.7000,Pennsylvania,PA,Centre,40.716083,-77.939139,Bulk_Soil,,,,,,,,,,,
176,RB11,NA,NA,NA,NA,NA,0,7/19/2024,7/17/2024,1/30/2025,0.2240,24.4000,Arkansas,AR,Madison,33.804222,-91.271333,Bulk_Soil,,,,,,,,,,,
177,RB12,NA,NA,NA,NA,NA,0,7/19/2024,7/17/2024,1/30/2025,0.1800,8.4000,Arkansas,AR,Madison,33.804222,-91.271333,Bulk_Soil,,,,,,,,,,,
178,RB13,NA,NA,NA,NA,NA,0,7/19/2024,7/17/2024,1/30/2025,0.2070,7.8200,Arkansas,AR,Madison,33.804222,-91.271333,Bulk_Soil,,,,,,,,,,,
179,RB14,NA,NA,NA,NA,NA,0,7/19/2024,7/17/2024,1/30/2025,0.1490,10.1000,Arkansas,AR,Madison,33.804222,-91.271333,Bulk_Soil,,,,,,,,,,,
180,RB15,NA,NA,NA,NA,NA,0,7/19/2024,7/17/2024,1/30/2025,0.3200,18.0000,Arkansas,AR,Madison,33.804222,-91.271333,Bulk_Soil,,,,,,,,,,,
181,RB16,NA,NA,NA,NA,NA,0,7/19/2024,7/17/2024,1/31/2025,0.2050,13.9000,Arkansas,AR,Madison,33.804222,-91.271333,Bulk_Soil,,,,,,,,,,,
182,RB21,NA,NA,NA,NA,NA,8,7/19/2024,7/17/2024,1/31/2025,0.2390,13.3000,Arkansas,AR,Madison,33.804222,-91.271333,Bulk_Soil,,,,,,,,,,,
183,RB22,NA,NA,NA,NA,NA,8,7/19/2024,7/17/2024,1/31/2025,0.2560,13.3000,Arkansas,AR,Madison,33.804222,-91.271333,Bulk_Soil,,,,,,,,,,,
184,RB23,NA,NA,NA,NA,NA,8,7/19/2024,7/17/2024,1/31/2025,0.2320,19.6000,Arkansas,AR,Madison,33.804222,-91.271333,Bulk_Soil,,,,,,,,,,,
185,RB24,NA,NA,NA,NA,NA,8,7/19/2024,7/17/2024,1/31/2025,0.2460,17.5000,Arkansas,AR,Madison,33.804222,-91.271333,Bulk_Soil,,,,,,,,,,,
186,RB25,NA,NA,NA,NA,NA,8,7/19/2024,7/17/2024,1/31/2025,0.2870,13.7000,Arkansas,AR,Madison,33.804222,-91.271333,Bulk_Soil,,,,,,,,,,,
187,RB26,NA,NA,NA,NA,NA,8,7/19/2024,7/17/2024,1/31/2025,0.2990,10.9000,Arkansas,AR,Madison,33.804222,-91.271333,Bulk_Soil,,,,,,,,,,,
188,RB31,NA,NA,NA,NA,NA,12,7/19/2024,7/17/2024,1/31/2025,0.3200,14.4000,Arkansas,AR,Madison,33.804222,-91.271333,Bulk_Soil,,,,,,,,,,,
189,RB32,NA,NA,NA,NA,NA,12,7/19/2024,7/17/2024,1/31/2025,0.2930,10.3000,Arkansas,AR,Madison,33.804222,-91.271333,Bulk_Soil,,,,,,,,,,,
190,RB33,NA,NA,NA,NA,NA,12,7/19/2024,7/17/2024,1/31/2025,0.2800,12.0000,Arkansas,AR,Madison,33.804222,-91.271333,Bulk_Soil,,,,,,,,,,,
191,RB34,NA,NA,NA,NA,NA,12,7/19/2024,7/17/2024,1/31/2025,0.3160,13.4000,Arkansas,AR,Madison,33.804222,-91.271333,Bulk_Soil,,,,,,,,,,,
192,NC8,NA,NA,NA,NA,NA,NA,8/5/2024,NA,1/31/2025,NA,too low,NA,NA,NA,NA,NA,Extraction_Control,NA,NA,NA,,,,,,,,
193,RB35,NA,NA,NA,NA,NA,12,7/19/2024,7/17/2024,1/31/2025,0.1510,6.5400,Arkansas,AR,Madison,33.804222,-91.271333,Bulk_Soil,,,,,,,,,,,
194,RB36,NA,NA,NA,NA,NA,12,7/19/2024,7/17/2024,1/31/2025,0.1410,2.5200,Arkansas,AR,Madison,33.804222,-91.271333,Bulk_Soil,,,,,,,,,,,
195,RB41,NA,NA,NA,NA,NA,16,7/19/2024,7/17/2024,1/31/2025,0.2120,7.4400,Arkansas,AR,Madison,33.804222,-91.271333,Bulk_Soil,,,,,,,,,,,
196,RB42,NA,NA,NA,NA,NA,16,7/19/2024,7/17/2024,1/31/2025,0.1960,7.6200,Arkansas,AR,Madison,33.804222,-91.271333,Bulk_Soil,,,,,,,,,,,
197,RB43,NA,NA,NA,NA,NA,16,7/19/2024,7/17/2024,1/31/2025,0.3020,10.7000,Arkansas,AR,Madison,33.804222,-91.271333,Bulk_Soil,,,,,,,,,,,
198,RB44,NA,NA,NA,NA,NA,16,7/19/2024,7/17/2024,1/31/2025,0.2370,9.6800,Arkansas,AR,Madison,33.804222,-91.271333,Bulk_Soil,,,,,,,,,,,
199,RB45,NA,NA,NA,NA,NA,16,7/19/2024,7/17/2024,1/31/2025,0.1820,20.0000,Arkansas,AR,Madison,33.804222,-91.271333,Bulk_Soil,,,,,,,,,,,
200,RB46,NA,NA,NA,NA,NA,16,7/19/2024,7/17/2024,1/31/2025,0.1950,20.0000,Arkansas,AR,Madison,33.804222,-91.271333,Bulk_Soil,,,,,,,,,,,
201,A11,0.2157,0.2157,0,0,,0,4/3/2024,4/3/2024,1/31/2025,0.1210,too low,Autoclaved_Potting_Soil,Control,NA,NA,NA,Spermosphere,Control,Control,Control,,,,,,,,
202,A12,0.1736,0.1736,0,0,,0,4/3/2024,4/3/2024,1/31/2025,0.1400,too low,Autoclaved_Potting_Soil,Control,NA,NA,NA,Spermosphere,Control,Control,Control,,,,,,,,
203,A13,0.1892,0.1892,0,0,,0,4/3/2024,4/3/2024,1/31/2025,0.1930,too low,Autoclaved_Potting_Soil,Control,NA,NA,NA,Spermosphere,Control,Control,Control,,,,,,,,
204,A14,0.1702,0.1702,0,0,,0,4/3/2024,4/3/2024,1/31/2025,0.2190,too low,Autoclaved_Potting_Soil,Control,NA,NA,NA,Spermosphere,Control,Control,Control,,,,,,,,
205,A15,0.1936,0.1936,0,0,,0,4/3/2024,4/3/2024,1/31/2025,0.1100,too low,Autoclaved_Potting_Soil,Control,NA,NA,NA,Spermosphere,Control,Control,Control,,,,,,,,
206,A16,0.1709,0.1709,0,0,,0,4/3/2024,4/3/2024,1/31/2025,0.2990,too low,Autoclaved_Potting_Soil,Control,NA,NA,NA,Spermosphere,Control,Control,Control,,,,,,,,
207,A21,0.1954,0.3766,0.1812,0,,8,4/3/2024,4/3/2024,1/31/2025,0.2210,too low,Autoclaved_Potting_Soil,Control,NA,NA,NA,Spermosphere,Control,Control,Control,,,,,,,,
208,A22,0.1784,0.3629,0.1845,0,,8,4/3/2024,4/3/2024,1/31/2025,0.2980,too low,Autoclaved_Potting_Soil,Control,NA,NA,NA,Spermosphere,Control,Control,Control,,,,,,,,
209,A23,0.1561,0.3567,0.2006,0,,8,4/3/2024,4/3/2024,1/31/2025,0.2820,too low,Autoclaved_Potting_Soil,Control,NA,NA,NA,Spermosphere,Control,Control,Control,,,,,,,,
210,A24,0.1269,0.3547,0.2278,0,,8,4/3/2024,4/3/2024,1/31/2025,0.1260,0.3260,Autoclaved_Potting_Soil,Control,NA,NA,NA,Spermosphere,Control,Control,Control,,,,,,,,
211,A25,0.1586,0.265,0.1064,0,,8,4/3/2024,4/3/2024,1/31/2025,0.2180,too low,Autoclaved_Potting_Soil,Control,NA,NA,NA,Spermosphere,Control,Control,Control,,,,,,,,
212,A26,0.164,0.2853,0.1213,0,,8,4/3/2024,4/3/2024,1/31/2025,0.1490,too low,Autoclaved_Potting_Soil,Control,NA,NA,NA,Spermosphere,Control,Control,Control,,,,,,,,
213,A31,0.1662,0.305,0.1388,0,,12,4/3/2024,4/3/2024,1/31/2025,0.1720,0.3700,Autoclaved_Potting_Soil,Control,NA,NA,NA,Spermosphere,Control,Control,Control,,,,,,,,
214,A32,0.1801,0.3777,0.1976,0,,12,4/3/2024,4/3/2024,1/31/2025,0.1450,too low,Autoclaved_Potting_Soil,Control,NA,NA,NA,Spermosphere,Control,Control,Control,,,,,,,,
215,A33,0.1857,0.3699,0.1842,0,,12,4/3/2024,4/3/2024,1/31/2025,0.0336,0.1720,Autoclaved_Potting_Soil,Control,NA,NA,NA,Spermosphere,Control,Control,Control,,,,,,,,
216,NC9,NA,NA,NA,NA,NA,NA,8/5/2024,NA,1/31/2025,NA,too low,NA,NA,NA,NA,NA,Extraction_Control,NA,NA,NA,,,,,,,,
217,A34,0.1813,0.3711,0.1898,0,,12,4/3/2024,4/3/2024,1/31/2025,0.2080,too low,Autoclaved_Potting_Soil,Control,NA,NA,NA,Spermosphere,Control,Control,Control,,,,,,,,
218,A35,0.2202,0.5491,0.3289,0,,12,4/3/2024,4/3/2024,1/31/2025,0.1700,too low,Autoclaved_Potting_Soil,Control,NA,NA,NA,Spermosphere,Control,Control,Control,,,,,,,,
219,A36,0.1588,0.3968,0.238,0,,12,4/3/2024,4/3/2024,1/31/2025,0.2040,too low,Autoclaved_Potting_Soil,Control,NA,NA,NA,Spermosphere,Control,Control,Control,,,,,,,,
220,A41,0.1614,0.3355,0.1741,0,,16,4/3/2024,4/3/2024,1/31/2025,0.1080,too low,Autoclaved_Potting_Soil,Control,NA,NA,NA,Spermosphere,Control,Control,Control,,,,,,,,
221,A42,0.1891,0.3886,0.1995,0,,16,4/3/2024,4/3/2024,1/31/2025,0.0331,too low,Autoclaved_Potting_Soil,Control,NA,NA,NA,Spermosphere,Control,Control,Control,,,,,,,,
222,A43,0.1872,0.4091,0.2219,0,,16,4/3/2024,4/3/2024,1/31/2025,0.1380,too low,Autoclaved_Potting_Soil,Control,NA,NA,NA,Spermosphere,Control,Control,Control,,,,,,,,
223,A44,0.1925,0.4164,0.2239,0,,16,4/3/2024,4/3/2024,1/31/2025,0.1550,0.1820,Autoclaved_Potting_Soil,Control,NA,NA,NA,Spermosphere,Control,Control,Control,,,,,,,,
224,A45,0.1646,0.365,0.2004,0,,16,4/3/2024,4/3/2024,1/31/2025,0.1950,too low,Autoclaved_Potting_Soil,Control,NA,NA,NA,Spermosphere,Control,Control,Control,,,,,,,,
225,A46,0.1429,0.3249,0.182,0,,16,4/3/2024,4/3/2024,1/31/2025,0.2060,too low,Autoclaved_Potting_Soil,Control,NA,NA,NA,Spermosphere,Control,Control,Control,,,,,,,,
226,W11,0.1886,0.21,0.0214,0,,0,5/1/2024,4/29/2024,1/31/2025,0.2910,12.8000,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Spermosphere,Soybean,Corn,Conventional,,,,,,,,
227,W12,0.1551,0.1937,0.0386,0,,0,5/1/2024,4/29/2024,1/31/2025,0.1610,7.9200,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Spermosphere,Soybean,Corn,Conventional,,,,,,,,
228,W13,0.1662,0.1883,0.0221,0,,0,5/1/2024,4/29/2024,1/31/2025,0.2450,8.6000,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Spermosphere,Soybean,Corn,Conventional,,,,,,,,
229,W14,0.1679,0.195,0.0271,0,,0,5/1/2024,4/29/2024,1/31/2025,0.1560,6.0200,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Spermosphere,Soybean,Corn,Conventional,,,,,,,,
230,W15,0.1815,0.2119,0.0304,0,,0,5/1/2024,4/29/2024,1/31/2025,0.3180,12.5000,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Spermosphere,Soybean,Corn,Conventional,,,,,,,,
231,W16,0.2138,0.2437,0.0299,0,,0,5/1/2024,4/29/2024,1/31/2025,0.3190,6.8600,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Spermosphere,Soybean,Corn,Conventional,,,,,,,,
232,W21,0.1838,0.3168,0.133,0,,8,5/1/2024,4/29/2024,1/31/2025,0.2660,5.9800,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Spermosphere,Soybean,Corn,Conventional,,,,,,,,
233,W22,0.2041,0.3762,0.1721,0,,8,5/1/2024,4/29/2024,1/31/2025,0.1610,4.9400,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Spermosphere,Soybean,Corn,Conventional,,,,,,,,
234,W23,0.2003,0.353,0.1527,0,,8,5/1/2024,4/29/2024,1/31/2025,0.1910,5.0800,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Spermosphere,Soybean,Corn,Conventional,,,,,,,,
235,W24,0.1866,0.3294,0.1428,0,,8,5/1/2024,4/29/2024,1/31/2025,0.1560,4.0600,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Spermosphere,Soybean,Corn,Conventional,,,,,,,,
236,W25,0.2116,0.3504,0.1388,0,,8,5/1/2024,4/29/2024,1/31/2025,0.3140,7.3400,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Spermosphere,Soybean,Corn,Conventional,,,,,,,,
237,W26,0.1687,0.314,0.1453,0,,8,5/1/2024,4/29/2024,1/31/2025,0.2720,6.3600,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Spermosphere,Soybean,Corn,Conventional,,,,,,,,
238,W31,0.1661,0.3507,0.1846,0,,12,5/1/2024,4/29/2024,1/31/2025,0.1780,3.5000,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Spermosphere,Soybean,Corn,Conventional,,,,,,,,
239,W32,0.1838,0.3948,0.211,0,,12,5/1/2024,4/29/2024,1/31/2025,0.1470,15.4000,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Spermosphere,Soybean,Corn,Conventional,,,,,,,,
240,NC10,NA,NA,NA,NA,NA,NA,8/5/2024,NA,1/31/2025,NA,too low,NA,NA,NA,NA,NA,Extraction_Control,NA,NA,NA,,,,,,,,
241,W33,0.1602,0.3499,0.1897,0,,12,5/1/2024,4/29/2024,2/12/2025,0.2450,4.4000,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Spermosphere,Soybean,Corn,Conventional,,,,,,,,
242,W34,0.199,0.4135,0.2145,0,,12,5/1/2024,4/29/2024,2/12/2025,0.2730,6.7800,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Spermosphere,Soybean,Corn,Conventional,,,,,,,,
243,W35,0.1499,0.3182,0.1683,0,,12,5/1/2024,4/29/2024,2/12/2025,0.2830,9.2800,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Spermosphere,Soybean,Corn,Conventional,,,,,,,,
244,W36,0.1735,0.3508,0.1773,0,,12,5/1/2024,4/29/2024,2/12/2025,0.2120,7.8200,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Spermosphere,Soybean,Corn,Conventional,,,,,,,,
245,W41,0.1568,0.3566,0.1998,0,,16,5/1/2024,4/29/2024,2/12/2025,0.2940,6.1400,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Spermosphere,Soybean,Corn,Conventional,,,,,,,,
246,W42,0.1905,0.3858,0.1953,0,,16,5/1/2024,4/29/2024,2/12/2025,0.2660,7.1400,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Spermosphere,Soybean,Corn,Conventional,,,,,,,,
247,W43,0.1763,0.3861,0.2098,1,,16,5/1/2024,4/29/2024,2/12/2025,0.1800,5.5000,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Spermosphere,Soybean,Corn,Conventional,,,,,,,,
248,W44,0.1775,0.4023,0.2248,0,,16,5/1/2024,4/29/2024,2/12/2025,0.2170,5.8200,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Spermosphere,Soybean,Corn,Conventional,,,,,,,,
249,W45,0.1683,0.3424,0.1741,1,,16,5/1/2024,4/29/2024,2/12/2025,0.2960,9.4200,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Spermosphere,Soybean,Corn,Conventional,,,,,,,,
250,W46,0.1816,0.4049,0.2233,0,,16,5/1/2024,4/29/2024,2/12/2025,0.2840,11.7000,Wiregrass_EC,AL,Henry,31.3601954,-85.3218948,Spermosphere,Soybean,Corn,Conventional,,,,,,,,
251,E11,0.1551,0.1855,0.0304,0,,0,5/1/2024,4/29/2024,2/12/2025,0.2230,13.7000,EVSmith_EC,AL,Macon,32.42789,-85.89018,Spermosphere,Wheat,Soybean,Covercrop_NoTill,,,,,,,,
252,E12,0.1708,0.204,0.0332,0,,0,5/1/2024,4/29/2024,2/12/2025,0.1800,10.5000,EVSmith_EC,AL,Macon,32.42789,-85.89018,Spermosphere,Wheat,Soybean,Covercrop_NoTill,,,,,,,,
